run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
30/04/2019 15:31,2018,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,47,0,0,2.12766,55.319149,31.914894,4.255319,0,2.12766,4.255319,0,0,0,0,9.617021,47,87.234043,5.617021
30/04/2019 15:31,2018,ABERDEEN,HUNGARY,BUDAPEST,WIZZ AIR,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,14
30/04/2019 15:31,2018,ABERDEEN,LATVIA,RIGA,AIR BALTIC,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19
30/04/2019 15:31,2018,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,74,0,0,1.351351,37.837838,41.891892,9.459459,4.054054,5.405405,0,0,0,0,0,10.22973,129,84.496124,7.689922
30/04/2019 15:31,2018,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,210,0,2,8.018868,41.037736,32.54717,7.075472,5.660377,3.301887,1.415094,0,0,0,0.943396,10.361905,239,83.263598,9.410042
30/04/2019 15:31,2018,ABERDEEN,POLAND,WARSAW (CHOPIN),WIZZ AIR,S,12,0,0,0,0,58.333333,16.666667,16.666667,8.333333,0,0,0,0,0,21.583333,204,58.333333,17.813725
30/04/2019 15:31,2018,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,S,684,0,7,1.447178,57.452967,26.772793,3.473227,5.499276,2.894356,1.157742,0.289436,0,0,1.013025,8.722222,727,88.858322,7.22696
30/04/2019 15:31,2018,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,AVANTI AIR BEDARFSFLUGGES,C,1,0,0,0,0,0,0,100,0,0,0,0,0,0,56,0,0,0
30/04/2019 15:31,2018,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,EASTERN AIRWAYS,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0
30/04/2019 15:31,2018,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0
