run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
30/04/2019 15:18,2018,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,24,0,0,4.166667,66.666667,25,0,0,0,4.166667,0,0,0,0,6,24,91.666667,5
30/04/2019 15:18,2018,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,23,0,0,0,43.478261,39.130435,8.695652,0,4.347826,4.347826,0,0,0,0,13,23,82.608696,7
30/04/2019 15:18,2018,ABERDEEN,HUNGARY,BUDAPEST,WIZZ AIR,A,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,100,5
30/04/2019 15:18,2018,ABERDEEN,HUNGARY,BUDAPEST,WIZZ AIR,D,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,23
30/04/2019 15:18,2018,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,37,0,0,2.702703,45.945946,32.432432,10.810811,2.702703,5.405405,0,0,0,0,0,10,65,87.692308,7
30/04/2019 15:18,2018,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,19
30/04/2019 15:18,2018,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,37,0,0,0,29.72973,51.351351,8.108108,5.405405,5.405405,0,0,0,0,0,10,64,81.25,8
30/04/2019 15:18,2018,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,105,0,1,16.037736,50,17.924528,5.660377,4.716981,2.830189,1.886792,0,0,0,0.943396,9,119,84.87395,8
30/04/2019 15:18,2018,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,105,0,1,0,32.075472,47.169811,8.490566,6.603774,3.773585,0.943396,0,0,0,0.943396,11,120,81.666667,11
30/04/2019 15:18,2018,ABERDEEN,POLAND,WARSAW (CHOPIN),WIZZ AIR,A,S,6,0,0,0,0,66.666667,16.666667,16.666667,0,0,0,0,0,0,15,102,64.705882,15
