Rank,Airport,Average delay (minutes),text
1,Stansted,25,25 minutes
2 =,Luton,19,19 minutes
2 =,Birmingham,19,19 minutes
4,Gatwick,18,18 minutes
5 =,Manchester,16,16 minutes
5 =,Jersey,16,16 minutes
7 =,Edinburgh,15,15 minutes
7 =,Belfast International,15,15 minutes
7 =,Southend,15,15 minutes
7 =,Glasgow,15,15 minutes
11 =,Newcastle,14,14 minutes
11 =,Durham Tees Valley,14,14 minutes
11 =,Cardiff,14,14 minutes
11 =,Southampton,14,14 minutes
15 =,Aberdeen,13,13 minutes
15 =,Isle of Man,13,13 minutes
15 =,East Midlands,13,13 minutes
15 =,Leeds Bradford,13,13 minutes
15 =,Heathrow,13,13 minutes
20 =,Bournemouth,12,12 minutes
20 =,Exeter,12,12 minutes
20 =,Doncaster Sheffield,12,12 minutes
23,Liverpool (John Lennon),10,10 minutes
24,Belfast City (George Best),8,8 minutes
